Timestamp,Slide_Number,Position,Image_Path
2025-07-01_151819,1,A,contact_angle_experiment_2025-07-01_151405/slide1_posA_z-38.0.tiff
2025-07-01_152034,1,B,contact_angle_experiment_2025-07-01_151405/slide1_posB_z-39.2.tiff
2025-07-01_152549,1,C,contact_angle_experiment_2025-07-01_151405/slide1_posC_z-39.5.tiff
2025-07-01_152835,1,D,contact_angle_experiment_2025-07-01_151405/slide1_posD_z-38.5.tiff
2025-07-01_153208,2,A,contact_angle_experiment_2025-07-01_151405/slide2_posA_z-39.5.tiff
2025-07-01_153431,2,B,contact_angle_experiment_2025-07-01_151405/slide2_posB_z-40.0.tiff
2025-07-01_153651,2,C,contact_angle_experiment_2025-07-01_151405/slide2_posC_z-40.0.tiff
2025-07-01_153910,2,D,contact_angle_experiment_2025-07-01_151405/slide2_posD_z-39.0.tiff
2025-07-01_154159,3,A,contact_angle_experiment_2025-07-01_151405/slide3_posA_z-40.0.tiff
2025-07-01_154406,3,B,contact_angle_experiment_2025-07-01_151405/slide3_posB_z-39.0.tiff
2025-07-01_154701,3,C,contact_angle_experiment_2025-07-01_151405/slide3_posC_z-40.0.tiff
2025-07-01_154912,3,D,contact_angle_experiment_2025-07-01_151405/slide3_posD_z-38.0.tiff
2025-07-01_155303,4,A,contact_angle_experiment_2025-07-01_151405/slide4_posA_z-39.2.tiff
2025-07-01_155552,4,B,contact_angle_experiment_2025-07-01_151405/slide4_posB_z-39.5.tiff
2025-07-01_155917,4,C,contact_angle_experiment_2025-07-01_151405/slide4_posC_z-39.5.tiff
2025-07-01_160124,4,D,contact_angle_experiment_2025-07-01_151405/slide4_posD_z-39.7.tiff
2025-07-01_160537,5,A,contact_angle_experiment_2025-07-01_151405/slide5_posA_z-38.2.tiff
2025-07-01_160913,5,B,contact_angle_experiment_2025-07-01_151405/slide5_posB_z-38.0.tiff
2025-07-01_161141,5,C,contact_angle_experiment_2025-07-01_151405/slide5_posC_z-38.5.tiff
2025-07-01_161359,5,D,contact_angle_experiment_2025-07-01_151405/slide5_posD_z-38.0.tiff
2025-07-01_162043,6,A,contact_angle_experiment_2025-07-01_151405/slide6_posA_z-40.0.tiff
2025-07-01_162303,6,B,contact_angle_experiment_2025-07-01_151405/slide6_posB_z-39.0.tiff
2025-07-01_162542,6,C,contact_angle_experiment_2025-07-01_151405/slide6_posC_z-39.7.tiff
2025-07-01_162752,6,D,contact_angle_experiment_2025-07-01_151405/slide6_posD_z-39.7.tiff
2025-07-01_163136,7,A,contact_angle_experiment_2025-07-01_151405/slide7_posA_z-40.0.tiff
2025-07-01_163346,7,B,contact_angle_experiment_2025-07-01_151405/slide7_posB_z-40.0.tiff
2025-07-01_163841,7,C,contact_angle_experiment_2025-07-01_151405/slide7_posC_z-40.0.tiff
2025-07-01_164141,7,D,contact_angle_experiment_2025-07-01_151405/slide7_posD_z-40.0.tiff
