well_letter,well_number,well_loc,dep_V,dep_T
B,5,B5,1.413812047,15.28245176
B,6,B6,0.832403577,20.65278532
B,7,B7,1.580441339,1.630583861
B,8,B8,1.252344976,6.501574726
B,9,B9,0.912147792,41.14075221
B,10,B10,0.898103037,7.539866894
B,11,B11,1.096680145,66.35487927
B,12,B12,1.362921311,50.50406742
C,1,C1,1.2315587,13.20309211
C,2,C2,0.996982271,28.19759552
C,3,C3,1.50705351,1.044500861
C,4,C4,1.155223307,2.145634869
C,5,C5,1.013504235,2.832101146
C,6,C6,1.476284328,80.64333778
C,7,C7,1.309069321,3.319612441
C,8,C8,1.120957751,4.800255552
